name|owner|language|stargazerCount|createdAt|percentAccepted
freeCodeCamp|freeCodeCamp|TypeScript|410538|2014-12-24T17:49:19Z|62.20823565385791
free-programming-books|EbookFoundation|HTML|351308|2013-10-11T06:50:37Z|64.9535840750311
awesome|sindresorhus|não encontrado|348998|2014-07-11T13:42:37Z|31.401425178147267
build-your-own-x|codecrafters-io|Markdown|342855|2018-05-09T12:03:18Z|32.11009174311927
public-apis|public-apis|Python|328613|2016-03-20T23:49:42Z|55.780691299165674
coding-interview-university|jwasham|não encontrado|312421|2016-06-06T02:34:12Z|41.00790513833992
developer-roadmap|kamranahmedse|TypeScript|309245|2017-03-15T13:45:52Z|68.28769922353902
system-design-primer|donnemartin|Python|290363|2017-02-26T16:15:28Z|34.72949389179756
996.ICU|996icu|não encontrado|270320|2019-03-26T07:31:14Z|53.776435045317214
awesome-python|vinta|Python|235434|2014-06-27T21:00:06Z|27.535496957403648
react|facebook|JavaScript|232683|2013-05-24T16:15:54Z|67.34548898887047
project-based-learning|practical-tutorials|não encontrado|219083|2017-04-12T05:07:46Z|40.99099099099099
awesome-selfhosted|awesome-selfhosted|não encontrado|218418|2015-06-01T02:33:17Z|78.82081686429513
vue|vuejs|TypeScript|208418|2013-07-29T03:24:51Z|44.30577223088923
Python|TheAlgorithms|Python|197699|2016-07-16T09:44:01Z|27.942868098159508
javascript-algorithms|trekhleb|JavaScript|190252|2018-03-24T07:47:04Z|39.119170984455955
linux|torvalds|C|188595|2011-09-04T22:48:12Z|0.9433962264150944
tensorflow|tensorflow|C++|188285|2015-11-07T01:19:20Z|64.05594101398525
You-Dont-Know-JS|getify|não encontrado|181143|2013-11-16T02:37:24Z|41.18967452300786
CS-Notes|CyC2018|não encontrado|179086|2018-02-13T14:56:24Z|60.42003231017771
ohmyzsh|ohmyzsh|Shell|176372|2009-08-28T18:15:37Z|43.690223166843786
computer-science|ossu|não encontrado|175964|2014-05-04T00:18:39Z|61.52173913043478
AutoGPT|Significant-Gravitas|Python|172003|2023-03-16T09:21:07Z|50.426026336173514
bootstrap|twbs|JavaScript|171655|2011-07-29T21:19:00Z|57.11610486891385
flutter|flutter|Dart|168874|2015-03-06T22:54:58Z|69.2533634936444
vscode|microsoft|TypeScript|167867|2015-09-03T20:23:38Z|84.90779378112802
gitignore|github|não encontrado|164695|2010-11-08T20:17:14Z|35
Python-100-Days|jackfrued|Jupyter Notebook|161316|2018-03-01T16:05:52Z|3.7142857142857144
the-book-of-secret-knowledge|trimstray|não encontrado|159289|2018-06-23T10:43:14Z|40.802675585284284
the-art-of-command-line|jlevy|não encontrado|154861|2015-05-20T15:11:03Z|53.36700336700336
