name|owner|language|stargazerCount|createdAt|totalReleases
freeCodeCamp|freeCodeCamp|TypeScript|410538|2014-12-24T17:49:19Z|0
free-programming-books|EbookFoundation|HTML|351308|2013-10-11T06:50:37Z|0
awesome|sindresorhus|não encontrado|348998|2014-07-11T13:42:37Z|0
build-your-own-x|codecrafters-io|Markdown|342855|2018-05-09T12:03:18Z|0
public-apis|public-apis|Python|328613|2016-03-20T23:49:42Z|0
coding-interview-university|jwasham|não encontrado|312421|2016-06-06T02:34:12Z|0
developer-roadmap|kamranahmedse|TypeScript|309245|2017-03-15T13:45:52Z|1
system-design-primer|donnemartin|Python|290363|2017-02-26T16:15:28Z|0
996.ICU|996icu|não encontrado|270320|2019-03-26T07:31:14Z|0
awesome-python|vinta|Python|235434|2014-06-27T21:00:06Z|0
react|facebook|JavaScript|232683|2013-05-24T16:15:54Z|103
project-based-learning|practical-tutorials|não encontrado|219083|2017-04-12T05:07:46Z|0
awesome-selfhosted|awesome-selfhosted|não encontrado|218418|2015-06-01T02:33:17Z|1
vue|vuejs|TypeScript|208418|2013-07-29T03:24:51Z|249
Python|TheAlgorithms|Python|197699|2016-07-16T09:44:01Z|0
javascript-algorithms|trekhleb|JavaScript|190252|2018-03-24T07:47:04Z|0
linux|torvalds|C|188595|2011-09-04T22:48:12Z|0
tensorflow|tensorflow|C++|188285|2015-11-07T01:19:20Z|214
You-Dont-Know-JS|getify|não encontrado|181143|2013-11-16T02:37:24Z|0
CS-Notes|CyC2018|não encontrado|179086|2018-02-13T14:56:24Z|0
ohmyzsh|ohmyzsh|Shell|176372|2009-08-28T18:15:37Z|0
computer-science|ossu|não encontrado|175964|2014-05-04T00:18:39Z|0
AutoGPT|Significant-Gravitas|Python|172003|2023-03-16T09:21:07Z|42
bootstrap|twbs|JavaScript|171655|2011-07-29T21:19:00Z|89
flutter|flutter|Dart|168874|2015-03-06T22:54:58Z|7
vscode|microsoft|TypeScript|167867|2015-09-03T20:23:38Z|156
gitignore|github|não encontrado|164695|2010-11-08T20:17:14Z|0
Python-100-Days|jackfrued|Jupyter Notebook|161316|2018-03-01T16:05:52Z|0
the-book-of-secret-knowledge|trimstray|não encontrado|159289|2018-06-23T10:43:14Z|0
the-art-of-command-line|jlevy|não encontrado|154861|2015-05-20T15:11:03Z|0
