name|owner|language|stargazerCount|createdAt|differenceMonthsUpdated|meetsReleaseCriteria
freeCodeCamp|freeCodeCamp|TypeScript|410537|2014-12-24T17:49:19Z|0|true
free-programming-books|EbookFoundation|HTML|351311|2013-10-11T06:50:37Z|0|true
awesome|sindresorhus|não encontrado|349004|2014-07-11T13:42:37Z|0|true
build-your-own-x|codecrafters-io|Markdown|342869|2018-05-09T12:03:18Z|0|true
public-apis|public-apis|Python|328614|2016-03-20T23:49:42Z|0|true
coding-interview-university|jwasham|não encontrado|312422|2016-06-06T02:34:12Z|0|true
developer-roadmap|kamranahmedse|TypeScript|309247|2017-03-15T13:45:52Z|0|true
system-design-primer|donnemartin|Python|290363|2017-02-26T16:15:28Z|0|true
996.ICU|996icu|não encontrado|270320|2019-03-26T07:31:14Z|0|true
awesome-python|vinta|Python|235435|2014-06-27T21:00:06Z|0|true
react|facebook|JavaScript|232684|2013-05-24T16:15:54Z|0|true
project-based-learning|practical-tutorials|não encontrado|219089|2017-04-12T05:07:46Z|0|true
awesome-selfhosted|awesome-selfhosted|não encontrado|218421|2015-06-01T02:33:17Z|0|true
vue|vuejs|TypeScript|208418|2013-07-29T03:24:51Z|0|true
Python|TheAlgorithms|Python|197699|2016-07-16T09:44:01Z|0|true
javascript-algorithms|trekhleb|JavaScript|190253|2018-03-24T07:47:04Z|0|true
linux|torvalds|C|188596|2011-09-04T22:48:12Z|0|true
tensorflow|tensorflow|C++|188286|2015-11-07T01:19:20Z|0|true
You-Dont-Know-JS|getify|não encontrado|181144|2013-11-16T02:37:24Z|0|true
CS-Notes|CyC2018|não encontrado|179086|2018-02-13T14:56:24Z|0|true
ohmyzsh|ohmyzsh|Shell|176371|2009-08-28T18:15:37Z|0|true
computer-science|ossu|não encontrado|175965|2014-05-04T00:18:39Z|0|true
AutoGPT|Significant-Gravitas|Python|172003|2023-03-16T09:21:07Z|0|true
bootstrap|twbs|JavaScript|171656|2011-07-29T21:19:00Z|0|true
flutter|flutter|Dart|168875|2015-03-06T22:54:58Z|0|true
vscode|microsoft|TypeScript|167869|2015-09-03T20:23:38Z|0|true
gitignore|github|não encontrado|164695|2010-11-08T20:17:14Z|0|true
Python-100-Days|jackfrued|Jupyter Notebook|161316|2018-03-01T16:05:52Z|0|true
the-book-of-secret-knowledge|trimstray|não encontrado|159290|2018-06-23T10:43:14Z|0|true
the-art-of-command-line|jlevy|não encontrado|154861|2015-05-20T15:11:03Z|0|true
