name|owner|language|stargazerCount|createdAt|meetsReleaseCriteria
freeCodeCamp|freeCodeCamp|TypeScript|410538|2014-12-24T17:49:19Z|true
free-programming-books|EbookFoundation|HTML|351308|2013-10-11T06:50:37Z|true
awesome|sindresorhus||348998|2014-07-11T13:42:37Z|false
build-your-own-x|codecrafters-io|Markdown|342855|2018-05-09T12:03:18Z|false
public-apis|public-apis|Python|328613|2016-03-20T23:49:42Z|true
coding-interview-university|jwasham||312421|2016-06-06T02:34:12Z|false
developer-roadmap|kamranahmedse|TypeScript|309245|2017-03-15T13:45:52Z|true
system-design-primer|donnemartin|Python|290363|2017-02-26T16:15:28Z|true
996.ICU|996icu||270320|2019-03-26T07:31:14Z|false
awesome-python|vinta|Python|235434|2014-06-27T21:00:06Z|true
react|facebook|JavaScript|232683|2013-05-24T16:15:54Z|true
project-based-learning|practical-tutorials||219083|2017-04-12T05:07:46Z|false
awesome-selfhosted|awesome-selfhosted||218418|2015-06-01T02:33:17Z|false
vue|vuejs|TypeScript|208418|2013-07-29T03:24:51Z|true
Python|TheAlgorithms|Python|197699|2016-07-16T09:44:01Z|true
javascript-algorithms|trekhleb|JavaScript|190252|2018-03-24T07:47:04Z|true
linux|torvalds|C|188595|2011-09-04T22:48:12Z|true
tensorflow|tensorflow|C++|188285|2015-11-07T01:19:20Z|true
You-Dont-Know-JS|getify||181143|2013-11-16T02:37:24Z|false
CS-Notes|CyC2018||179086|2018-02-13T14:56:24Z|false
ohmyzsh|ohmyzsh|Shell|176372|2009-08-28T18:15:37Z|true
computer-science|ossu||175964|2014-05-04T00:18:39Z|false
AutoGPT|Significant-Gravitas|Python|172003|2023-03-16T09:21:07Z|true
bootstrap|twbs|JavaScript|171655|2011-07-29T21:19:00Z|true
flutter|flutter|Dart|168874|2015-03-06T22:54:58Z|false
vscode|microsoft|TypeScript|167867|2015-09-03T20:23:38Z|true
gitignore|github||164695|2010-11-08T20:17:14Z|false
Python-100-Days|jackfrued|Jupyter Notebook|161316|2018-03-01T16:05:52Z|false
the-book-of-secret-knowledge|trimstray||159289|2018-06-23T10:43:14Z|false
the-art-of-command-line|jlevy||154861|2015-05-20T15:11:03Z|false
