name|owner|primaryLanguage|stargazerCount|createdAt|updatedAt|pullRequests|mergedPullRequests|issues|closedIssues|releases
JavaGuide|Snailclimb|Java|148691|2018-05-07T13:27:00Z|2025-03-14T21:11:12Z|1459|1150|1079|1014|0
hello-algo|krahets|Java|110126|2022-11-04T11:08:34Z|2025-03-14T23:12:29Z|1155|916|257|235|9
java-design-patterns|iluwatar|Java|90996|2014-08-09T16:45:18Z|2025-03-14T23:00:21Z|2224|1460|946|819|0
mall|macrozheng|Java|79461|2018-04-04T01:11:44Z|2025-03-14T18:14:05Z|124|1|498|482|3
advanced-java|doocs|Java|77229|2018-10-06T11:38:30Z|2025-03-14T20:47:38Z|130|86|147|142|1
spring-boot|spring-projects|Java|76437|2012-10-19T15:02:57Z|2025-03-14T22:16:22Z|6762|42|37388|36835|300
LeetCodeAnimation|MisterBooo|Java|75759|2018-12-06T08:01:22Z|2025-03-14T18:21:24Z|77|63|61|42|0
elasticsearch|elastic|Java|71982|2010-02-08T13:20:56Z|2025-03-14T22:25:26Z|85874|74838|38671|34586|174
interviews|kdn251|Java|64014|2017-02-14T18:19:25Z|2025-03-14T19:59:11Z|174|42|53|23|0
Java|TheAlgorithms|Java|61079|2016-07-16T10:21:02Z|2025-03-14T22:00:10Z|4825|1856|1078|1071|0
