file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\antora\Extensions.java,org.springframework.boot.build.antora.RootComponent,class,1,3,2,1,2,2,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\bomr\UpgradeTests.java,org.springframework.boot.build.bom.bomr.UpgradeTests,class,5,5,0,5,2,1,0,8,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,13,0,4,0,4,0,0,0,0,14,0,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\starters\StarterMetadata.java,org.springframework.boot.build.starters.StarterMetadata,class,11,13,2,11,7,2,0,20,15,0.5714286,0.0,0.0,7,0,6,0,0,1,7,3,0,0,1,0,0,1,0,0,0,0,2,28,1,0,0,1,0,4,0,5,0,5,1,0,0,0,36,1025,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\Library.java,org.springframework.boot.build.bom.Library$Exclusion,innerclass,0,0,0,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,18,9,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\MavenMetadataVersionResolver.java,org.springframework.boot.build.bom.bomr.MavenMetadataVersionResolver,class,12,14,2,12,10,1,0,33,0,0.375,0.0,0.0,4,0,1,1,0,2,3,0,0,0,2,0,0,2,0,0,2,0,4,45,2,2,2,1,0,10,1,12,2,12,2,0,0,0,58,16,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\springframework\CheckSpringFactories.java,org.springframework.boot.build.springframework.CheckSpringFactories,class,1,1,0,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1025,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\test\java\org\springframework\boot\build\context\properties\ConfigurationPropertiesTests.java,org.springframework.boot.build.context.properties.ConfigurationPropertiesTests,class,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,1,1,0,1,0,0,0,0,25,0,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\JavaConventions.java,org.springframework.boot.build.JavaConventions,class,36,38,2,36,28,1,0,108,151,0.8888889,NaN,NaN,18,0,0,17,0,1,1,0,0,0,1,1,0,1,0,0,1,0,7,179,6,1,1,0,2,52,2,25,6,48,2,0,0,23,201,0,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\AntoraConventions.java,org.springframework.boot.build.AntoraConventions,class,20,22,2,20,25,1,0,80,103,0.9166667,NaN,NaN,15,0,0,14,0,1,1,0,0,0,4,4,2,2,0,0,4,0,10,118,7,1,5,1,4,54,0,25,2,38,2,0,0,15,131,1,1
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\test\java\org\springframework\boot\build\architecture\objects\requireNonNullWithSupplier\RequireNonNullWithSupplier.java,org.springframework.boot.build.architecture.objects.requireNonNullWithSupplier.RequireNonNullWithSupplier,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0
