name|owner|primaryLanguage|createdAt|updatedAt|url|popularity|cbo|dit|lcom|loc|compositeScore|allRelease
JavaGuide|Snailclimb|Java|2018-05-07T13:27:00Z|2025-03-23T16:21:24Z|https://github.com/Snailclimb/JavaGuide|148839|||||74419.6|0
hello-algo|krahets|Java|2022-11-04T11:08:34Z|2025-03-23T16:37:31Z|https://github.com/krahets/hello-algo|110892|||||55446.1|9
java-design-patterns|iluwatar|Java|2014-08-09T16:45:18Z|2025-03-23T14:34:38Z|https://github.com/iluwatar/java-design-patterns|91035|||||45517.6|0
mall|macrozheng|Java|2018-04-04T01:11:44Z|2025-03-23T16:23:57Z|https://github.com/macrozheng/mall|79613|||||39806.6|3
advanced-java|doocs|Java|2018-10-06T11:38:30Z|2025-03-23T15:01:29Z|https://github.com/doocs/advanced-java|77282|||||38641.1|1
spring-boot|spring-projects|Java|2012-10-19T15:02:57Z|2025-03-23T16:36:25Z|https://github.com/spring-projects/spring-boot|76530|||||38265.1|303
LeetCodeAnimation|MisterBooo|Java|2018-12-06T08:01:22Z|2025-03-23T11:30:24Z|https://github.com/MisterBooo/LeetCodeAnimation|75778|||||37889.1|0
elasticsearch|elastic|Java|2010-02-08T13:20:56Z|2025-03-23T16:49:41Z|https://github.com/elastic/elasticsearch|72074|||||36037.1|174
interviews|kdn251|Java|2017-02-14T18:19:25Z|2025-03-23T13:49:44Z|https://github.com/kdn251/interviews|64026|||||32013.1|0
Java|TheAlgorithms|Java|2016-07-16T10:21:02Z|2025-03-23T16:14:52Z|https://github.com/TheAlgorithms/Java|61145|||||30572.6|0
