name|owner|primaryLanguage|createdAt|updatedAt|url|popularity|cbo|dit|lcom|compositeScore
JavaGuide|Snailclimb|Java|2018-05-07T13:27:00Z|2025-03-21T21:00:13Z|https://github.com/Snailclimb/JavaGuide|148824|0|0|0|
hello-algo|krahets|Java|2022-11-04T11:08:34Z|2025-03-21T20:58:50Z|https://github.com/krahets/hello-algo|110724|0|0|0|
java-design-patterns|iluwatar|Java|2014-08-09T16:45:18Z|2025-03-21T11:14:21Z|https://github.com/iluwatar/java-design-patterns|91024|3.36|1.2|1.88|
mall|macrozheng|Java|2018-04-04T01:11:44Z|2025-03-21T17:11:56Z|https://github.com/macrozheng/mall|79597|3.93|1.24|1110.8|
advanced-java|doocs|Java|2018-10-06T11:38:30Z|2025-03-21T17:16:22Z|https://github.com/doocs/advanced-java|77277|0|0|0|
spring-boot|spring-projects|Java|2012-10-19T15:02:57Z|2025-03-21T21:07:38Z|https://github.com/spring-projects/spring-boot|76507|6.26|1.38|23.19|
LeetCodeAnimation|MisterBooo|Java|2018-12-06T08:01:22Z|2025-03-21T15:13:45Z|https://github.com/MisterBooo/LeetCodeAnimation|75776|1|1|0|
elasticsearch|elastic|Java|2010-02-08T13:20:56Z|2025-03-21T19:10:21Z|https://github.com/elastic/elasticsearch|72062||||
interviews|kdn251|Java|2017-02-14T18:19:25Z|2025-03-21T15:05:28Z|https://github.com/kdn251/interviews|64024|1.19|1|0.29|
Java|TheAlgorithms|Java|2016-07-16T10:21:02Z|2025-03-21T21:00:08Z|https://github.com/TheAlgorithms/Java|61130|1.99|1.05|6.94|
